"","species mix","species 1","species 2","species 3","species 4","species 5","species 6","species 7","species 8","species 9","species 10","species 11","species 12","species 13","sepcies 14","species 15","ground leaves","total"
"2","ML.7316.rep1","CAMROT","ZIZAUR","ECHPUR","DESILL","ANECYL","PHYVIR","OENPIL","SILLAC","PYCTEN","ZIZAPT","HYPPUN","ASCSYR","OLIRIG","CXBLAN","AGANEP","GL","Total B"
"411","LH.389271.rep2","CXBLAN","ASCHIR","CXMOLE","ANTNEG","JUNTEN","AGANEP","CHAFAS","SENMAR","LIAPYC","AGATEN","BLECIL","SOLNEM","BROKAL","CASCOC","ERASPE","GL","Total B"
"412","","18.8","0","39.5","0.1","2.2","393.6","0","1.2","4.6","0","11.5","0","0","0","0","49.6","521.1"
"416","HH.623705.rep2","ALLCAN","AMOCAN","ZIZAPT","VIOPDF","SILTER","JUNTEN","ZIZAUR","HYPPYR","POLBIC","CHAFAS","ERASPE","SISANG","CASCOC","CEAAME","ERYYUC","GL","Total B"
"417","","0","0.1","2.8","0.1","22.7","0.2","64.8","3.3","0","0","0","15.1","0","0.4","40.1","6.4","156"
"423","CONTROL","","","","","","","","","","","","","","","","",""
"428","LH.1681808.rep2","CASCOC","CXBICK","LIASPI","OLIRIG","AMOCAN","AGANEP","SPOHET","SCHSCO","KOEMAC","CXNORM","POLBIC","BRIEUP","SORNUT","CEAAME","CXBLAN","GL","Total B"
"431","","","4.3","4.2","32.6","","50","4.3","4.3","4.3","11.2","","4.3","42.6","4.3","21.2","11.1","Bag Weight"
"441","HL.246518.rep2","OENPIL","TEUCAN","POTARU","VERGIG","BLECIL","ANECYL","ASCTUB","DALPUR","EUPCOR","ASCHIR","TRAOHI","LILMIC","MAIRAC","BRIEUP","CXGRAV","GL","Total B"
"444","","4.2","11.2","11.3","","11.2","4.3","","4.3","","","11.3","","","4.2","21.4","4.2","Bag Weight"
"450","HH.1124950.rep2","ELYCAN","LILMIC","CXBICK","POLBIC","ECHPAL","ANEVIR","SYMNOV","AMOCAN","RUDFUL","POLREP","BAPBRA","OENPIL","SPOHET","PHYVIR","ROSCAR","GL","Total B"
"453","","4.3","","4.2","","4.3","","48.4","","21.2","4.3","4.3","4.3","4.3","11.3","11.2","0","Bag Weight"
"463","HL.456657.rep2","CAMROT","SENHEB","HEURIC","VERVIR","ZIZAPT","MONFIS","AMOCAN","SYMNOV","ANECYL","HYPPUN","ALLCAN","VERGIG","CHAFAS","KOEMAC","ASCTUB","GL","Total B"
"466","","","11.2","4.2","4.3","","21.2","","97.8","11.1","","4.3","4.3","11.2","11.2","4.2","4.3","Bag Weight"
"467","LL.305726.rep2","PYCVIR","ASCSUL","PHYVIR","AMOCAN","ZIZAPT","BLECIL","PYCTEN","HELOCC","PYCPIL","ASCSYR","HELPAU","CAMROT","ROSCAR","MAIRAC","EUPALT","GL","Total B"
